manmo,lat,long,aircraftType,location,date,year,timeOfYear,ntsbID,no_injuries,minor_injuries,serious_injuries,fatal_injuries,total_injuries_exc_fatal,total_injuries_inc_fatal, total_uninjured
Beech BE 35,35.45444444444445,-98.56277777777777,fixed,"Hydro, OK",03/25/2018,2018,spring,ERA18FA114,0,0,0,2,0,2,0
Light Aero AVID FLYER,45.13333333333333,-70.33333333333333,fixed,"Carrabassett Valley, ME",09/06/2018,2018,fall,GAA18CA538,2,0,0,0,0,0,2
Cessna 210,45.10861111111111,-97.69444444444444,fixed,"Bradley, SD",11/02/2018,2018,fall,CEN19FA021,0,0,0,1,0,1,0
Cessna 500/525,38.09777777777778,-78.7225,fixed,"Crozet, VA",04/15/2018,2018,spring,ERA18FA127,0,0,0,1,0,1,0
Cessna 152,25.795,-80.56972222222223,fixed,"Tamiami, FL",05/03/2018,2018,spring,WPR18LA135,0,0,2,0,2,2,0
Cirrus Design SR22,39.51611111111111,-104.83388888888888,fixed,"Lone Tree, CO",05/11/2018,2018,spring,CEN18FA168,0,0,0,1,0,1,0
Piper PA 32R,35.484722222222224,-81.16583333333334,fixed,"Lincolnton, NC",07/24/2018,2018,summer,ERA18FA197,0,0,0,2,0,2,0
Piper PA 34,42.92388888888889,-73.13916666666667,fixed,"Bennington, VT",05/20/2018,2018,spring,ERA18FA148,0,0,0,1,0,1,0
Piper PA 28,33.21055555555556,-117.36916666666666,fixed,"Oceanside, CA",01/28/2019,2019,winter,WPR19FA075,0,0,1,1,1,2,0
Lancair LEGACY,37.36138888888889,-91.03999999999999,fixed,"Bixby, MO",10/06/2019,2019,fall,CEN20FA003,0,0,0,1,0,1,0
Beech BE 36,40.84638888888889,-84.15833333333335,fixed,"Elida, OH",06/20/2019,2019,summer,CEN19FA177,0,0,0,2,0,2,0
Cessna 185,65.92583333333334,-164.61138888888888,fixed,"Nome, AK",04/15/2019,2019,spring,ANC19TA017,0,0,1,0,1,1,0
Cessna 421,35.90611111111111,-100.5736111111111,fixed,"Canadian, TX",02/15/2019,2019,fall,CEN19FA082,0,0,0,2,0,2,0
Air Tractor AT-501/2,29.516111111111112,-96.39777777777779,fixed,"Eagle Lake, TX",05/11/2019,2019,spring,CEN19FA140,0,0,0,1,0,1,0
Cessna 172,45.56166666666666,-98.46027777777778,fixed,"Aberdeen, SD",10/09/2019,2019,fall,CEN20FA010,0,0,0,1,0,1,0
Cessna 172,40.76444444444444,-78.21111111111111,fixed,"Tyrone, PA",05/01/2019,2019,spring,ERA19FA161,0,0,0,2,0,2,0
Piper PA 28,46.69916666666666,-89.47277777777778,fixed,"Ontonagan, MI",08/03/2019,2019,summer,CEN19FA247,0,0,0,1,0,1,0
Piper PA 28,27.715,-80.52722222222222,fixed,"Fellsmere, FL",03/05/2019,2019,spring,ERA19FA116,0,0,0,1,0,1,0
Cirrus Design SR22,32.13611111111111,-84.19444444444444,fixed,"Americus, GA",07/24/2019,2019,summer,ERA19FA234,0,0,0,2,0,2,0
